Lien,,Auteuræ,Titre bref,Lieu/Imprimeur,Date,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=104&tbl=gln_edit&no=6666,105,Petit,Petit traictié pour parvenir a la vraye cognoissance des lettres et syllables,"Ge, W. Koeln.",1532,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=105&tbl=gln_edit&no=5661,106,Proverbia,Proverbia communia tam gallico : latino atque teuthonico sermone noviter impressa : revisa : ac emendata,"Ge, W. Koeln.",[1525 ?],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=106&tbl=gln_edit&no=6289,107,[U. Rhegius],Doctrine nouvelle et ancienne.,"[Ne], [P. de Vingle].",[± 1533],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=107&tbl=gln_edit&no=5696,108,Rituel,[Manuale ad usum gebennensem omnibus rectoribus ecclesiarum parrochialium necessario requisitum],"Ge, J. Vivian.",1523,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=108&tbl=gln_edit&no=5813,109,Siège,Siege et champ mys nagueres devant la triumphante ville de Vienne en Austriche.,"Ge, W. Koeln.",[± 1529],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=109&tbl=gln_edit&no=5807,110,Soliman II,Double de l'original qui a esté escript par le grand Turck,"Ge, [W. Koeln].",1526,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=110&tbl=gln_edit&no=5776,111,J. Stabius,Grant pronostication nouvelle avec les appertions pour l'an Mil. CCCCC.XXIII,"Ge, J. Vivian.",1523,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=111&tbl=gln_edit&no=5653,112,F. Taegio,Siege de Pavie. translaté par Morillon.,"[Ge], [W. Koeln].",[1525],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=112&tbl=gln_edit&no=5761,113,P. Velliard,Modus componendi epistolas,"[Ge], [J. Vivian].",1517,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=113&tbl=gln_edit&no=5438,114,Verité,"Verité cachée, devant cent ans faicte.","[Ne], [P. de Vingle].",[1533 ?],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=114&tbl=gln_edit&no=6673,115,Verité,"Verité cachée, devant cent ans faicte.","[Ne], [P. de Vingle].",[1533 ?],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=115&tbl=gln_edit&no=6229,116,P. Wylstet,"Lettres contenant les lamentables inundations advenus, le .V. jour de novembre, par icelles. Flandres, Holande, Zelande.","[Ge], [W. Koeln].",[1530],
