Lien,,Auteur ,Titre bref,Lieu/Imprimeur,Date,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=104&tbl=gln_edit&no=6316,105,Bible. Ps,Pseaumes de David mis en rime françoise.,"[Ge], [A. Reboul].",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=105&tbl=gln_edit&no=1260,106,Bible. Ps,Pseaumes de David mis en rime françoise.,"[Ge], Z. Durant.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=106&tbl=gln_edit&no=6315,107,Bible. Ps,Pseaumes de David mis en rime françoise. (Forme des prières).,"[Ge], P. J. Poullain ",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=107&tbl=gln_edit&no=1258,108,Bible. Ps,Pseaumes de David mis en rime françoise. (Forme des prières).,"[Ge ?], s.n..",[1558 ?],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=108&tbl=gln_edit&no=386,109,Bible. Ps,"Pseaumes de David mis en rime françoise. (Forme des prières, Catechisme).","[Ge], M. de La Roche.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=109&tbl=gln_edit&no=405,110,Bible. Ps,Pseaumes de David mis en rime françoise. (Forme des prières. Catechisme).,"[Ge], M. de La Roche.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=110&tbl=gln_edit&no=6319,111,Bible. Ps,Pseaumes de David mis en rime françoise. (Forme des prières. Catechisme).,"[Ge], M. de La Roche.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=111&tbl=gln_edit&no=801,112,Bible. Ps,Pseaumes de David mis en rime francoise. (Forme des prieres. Catechisme),"[Ge ?], s.n..",[1558 ?],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=112&tbl=gln_edit&no=460,113,Bible. Ps,"Pseaumes de David mis en rythme françoise. avec une nouvelle methode pour chanter. (Forme des prieres, Catechisme).","[Ge], P. Davantès, l’aîné.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=113&tbl=gln_edit&no=1123,114,Bible. Ps,Pseaumes de David mis en rythme françoise. avec une nouvelle methode pour chanter. Forme des prieres,"[Ge], M. Du Bois.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=114&tbl=gln_edit&no=209,115,Bible. Ps,Pseaumes de David traduicts selon la verité hebraïque par L. Budé,"Ge, J. Crespin.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=115&tbl=gln_edit&no=210,116,Bible. Ps,Pseaumes de David traduicts selon la verité hebraïque par L. Budé,"[Ge], J. Crespin.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=116&tbl=gln_edit&no=5922,117,Bible. Ps,Pseaumes de David traduicts selon la verité hebraïque par L. Budé,"[Ge], [J. Crespin].",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=117&tbl=gln_edit&no=1812,118,Bible. Ps,"Pseaumes de David, mis en rithme françoyse par Clement Marot","Ge, J. Girard.",1550,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=118&tbl=gln_edit&no=255,119,Bible. Ps,Pseaumes octante trois de David mis en rime françoise,"Ge, J. Berjon.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=119&tbl=gln_edit&no=256,120,Bible. Ps,Pseaumes octante trois de David mis en rime françoise,"[Ge], [J. Crespin].",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=120&tbl=gln_edit&no=219,121,Bible. Ps,"Pseaumes octante trois de David mis en rime françoise. A savoir, quarante neuf par Clement Marot. Et trentequatre par Theodore de Besze.","Ge, J. Crespin.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=121&tbl=gln_edit&no=223,122,Bible. Ps,Trente quatre Pseaumes de David mis en rime françoise.,"Ge, J. Crespin.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=122&tbl=gln_edit&no=5999,123,Bible. Ps,[90] Pseaumes de David. (Forme des prieres. Catechisme).,"[Ge], [P. Hamelin].",[1556],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=123&tbl=gln_edit&no=6500,124,Bible. Ps,"Salmi cinquanta di David, tradotti in rime volgari italiane posti in musica per Filiberto Gamba di ferro","[Ge], A. Reboul.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=124&tbl=gln_edit&no=465,125,Bible. Ps,"Sessanta Salmi di David, tradotti in rime volgari italiane","[Ge], J. B. Pinereul.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=125&tbl=gln_edit&no=313,126,Bible. Ps,XX Salmi di David. La forma de l'orationi. Catechismo,"[Ge], J. Crespin.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=126&tbl=gln_edit&no=1965,127,Bible. Ps,"Davidis Psalmi aliquot latino carmine expressi a quatuor poetis, ed. Henricus Stephanus","[Ge], H. Estienne.",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=127&tbl=gln_edit&no=1961,128,Bible. Ps,"Liber Psalmorum Davidis, tralatio duplex vetus et nova, hæc posterior S. Pagnini.","[Ge], R. Estienne.",1556 (-1557),,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=128&tbl=gln_edit&no=6661,129,Bible. Ps,Psaultier tant en latin qu'en françois,"Ge, S. Du Bosc & Guillaume Guéroult",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=129&tbl=gln_edit&no=247,130,Bible. Ps,Pseaulmes de David tant en latin qu'en françois,"[Ge], R. Estienne.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=130&tbl=gln_edit&no=383,131,Bible. N.T.,Newe Testament of our Lord Jesus Christ [trad. William Whittingham],"Ge, C. Badius.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=131&tbl=gln_edit&no=6160,132,Bible. N.T.,Novum Testamentum,"[Ge], R. Estienne.",1556 (-1557),,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=132&tbl=gln_edit&no=1587,133,Bible. N.T.,"Testamento Nuevo, trad. par [Juan Pérez]","« Ve », [J. Crespin].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=133&tbl=gln_edit&no=1203,134,Bible. N.T.,Nouveau Testament,"[Ge], J. Crespin.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=134&tbl=gln_edit&no=342,135,Bible. N.T.,Nouveau Testament,"[Ge], S. Du Bosc & Guillaume Guéroult",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=135&tbl=gln_edit&no=401,136,Bible. N.T.,Nouveau Testament,"[Ge], N. Barbier & Thomas Courteau",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=136&tbl=gln_edit&no=249,137,Bible. N.T.,Nouveau Testament en françois,"Ge, P. Hamelin.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=137&tbl=gln_edit&no=250,138,Bible. N.T.,Nouveau Testament en françois,"[Ge], [P. Hamelin].",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=138&tbl=gln_edit&no=1578,139,Bible. N.T.,Nouveau Testament en françois,"Ge, J. Crespin.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=139&tbl=gln_edit&no=384,140,Bible. N.T.,Nouveau Testament en françois,"[Ge], Z. Durant.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=140&tbl=gln_edit&no=402,141,Bible. N.T.,Nouveau Testament en françois,"[Ge], P. J. Poullain  & Antoine Reboul.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=141&tbl=gln_edit&no=281,142,Bible. N.T.,Nouveau Testament en françois. Reveu par M. Jean Calvin,"Ge, J. Girard.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=142&tbl=gln_edit&no=365,143,Bible. N.T.,"Nouveau Testament, avec annotations mises au marge.","[Ge], N. Barbier.",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=143&tbl=gln_edit&no=431,144,Bible. N.T.,"Nouveau Testament, en françois","[Ge], A. Reboul.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=144&tbl=gln_edit&no=1275,145,Bible. N.T.,"Nouveau Testament, en françois","[Ge], P. J. Poullain  & Antoine Reboul",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=145&tbl=gln_edit&no=459,146,Bible. N.T.,"Nouveau Testament, en françois","[Ge], R. Estienne.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=146&tbl=gln_edit&no=337,147,Bible. N.T.,"Nouveau Testament, en françois, et reveu par Jean Calvin","Ge, J. Girard.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=147&tbl=gln_edit&no=338,148,Bible. N.T.,"Nouveau Testament, en françois, et reveu par Jean Calvin","[Ge], J. Girard.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=148&tbl=gln_edit&no=339,149,Bible. N.T.,"Nouveau Testament, en françois, et reveu par Jean Calvin","[Ge], J. Girard pour Étienne Robinet",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=149&tbl=gln_edit&no=213,150,Bible. N.T.,"Nouveau Testament, en françois, et reveu, par M. Jean Calvin","Ge, J. Girard.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=150&tbl=gln_edit&no=214,151,Bible. N.T.,"Nouveau Testament, en francois, Par M. Jean Calvin","[Ge], [J. Girard].",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=151&tbl=gln_edit&no=215,152,Bible. N.T.,"Nouveau Testament, en francois, Par M. Jean Calvin","Ge, A. & J. Rivery & Jean Rivery.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=152&tbl=gln_edit&no=216,153,Bible. N.T.,"Nouveau Testament, en francois, reveu par M. Jean Calvin","Ge, J. Girard.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=153&tbl=gln_edit&no=332,154,Bible. N.T.,"Nouveau Testament, en françois. Avec annotations","[Ge], A. Cercia.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=154&tbl=gln_edit&no=333,155,Bible. N.T.,"Nouveau Testament, en françois. Avec annotations","Ge, J. Berthet.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=155&tbl=gln_edit&no=279,156,Bible. N.T.,"Nouveau Testament, translaté de grec en françois","Ge, S. Du Bosc & Guillaume Guéroult",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=156&tbl=gln_edit&no=6983,157,Bible. N.T.,Nouveau Testament. Reveu et corrigé par l'advis des ministres de Geneve.,"[Ge], É. Anastaise.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=157&tbl=gln_edit&no=1976,158,Bible. N.T.,<Kainês Diathêkês apanta>. Novum Jesu Christi Testamentum.,"[Ge], J. Crespin.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=158&tbl=gln_edit&no=1818,159,Bible. N.T.,<Apanta ta tês kainês diatêkês>. Novum Jesu Christi Testamentum cum duplici interpretatione D. Erasmi et veteris interpretis. [Andreas Osiander] Harmonia item evangelica,"[Ge], R. Estienne.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=159&tbl=gln_edit&no=2108,160,Bible. N.T.,"<Kainês Diathêkês apanta>. Novum Testamentum a Theodoro Beza versum, cum ejusdem annotationibus","« Bâ », N. Barbier & Thomas Courteau",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=160&tbl=gln_edit&no=2109,161,Bible. N.T.,"<Kainês Diathêkês apanta>. Novum Testamentum a Theodoro Beza versum, cum ejusdem annotationibus","« Zu », [N. Barbier & Thomas Courteau] ",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=161&tbl=gln_edit&no=5939,162,Bible. N.T.,"<Kainês Diathêkês apanta>. Novum Testamentum a Theodoro Beza versum, cum ejusdem annotationibus","« Bâ », N. Barbier & Thomas Courteau",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=162&tbl=gln_edit&no=1579,163,Bible. N.T.,Del Nuovo Testamento,"[Ge], J. Crespin.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=163&tbl=gln_edit&no=1277,164,Bible. N.T.,"Del Nuovo Testamento, Nuoua, e fedel traduttione dal testo Greco in lingua volgare italiana stampata di nuovo in compagnia d'un altra buona traduttione in lingua francese","[Ge], G. Paschale.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=164&tbl=gln_edit&no=2139,165,Bible. N.T.,Nuovo Testamento,"[Ge], F. Todesco.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=165&tbl=gln_edit&no=252,166,Bible. N.T.,Novum Testamentum (trad. latine),"Ge, J. Crespin.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=166&tbl=gln_edit&no=251,167,Bible. N.T.,"Nouveau Testament, tant en latin qu'en francois","[Ge], R. Estienne.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=167&tbl=gln_edit&no=303,168,Bible. N.T.,"Nouveau Testament, tant en latin qu'en francois","[Ge], C. Badius.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=168&tbl=gln_edit&no=304,169,Bible. N.T.,"Nouveau Testament, tant en latin qu'en francois","[Ge], [S. Du Bosc &] Guillaume Guéroult",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=169&tbl=gln_edit&no=335,170,Bible. N.T.,"Nouveau Testament, tant en latin qu'en francois","[Ge], C. Badius.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=170&tbl=gln_edit&no=336,171,Bible. N.T.,"Nouveau Testament, tant en latin qu'en francois","[Ge], [S. Du Bosc & Guillaume Guéroult] ",1555 (-1554),,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=171&tbl=gln_edit&no=5839,172,J. Bienvenu,Poesies de l'alliance perpetuelle entre Berne et Geneve,"[Ge], C. Badius.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=172&tbl=gln_edit&no=2048,173,J. Bienvenu,Response au livre d'Artus Desire intitulé : Les grandes chroniques et Annales de Passe-partout,"Ge, J. Berthet.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=173&tbl=gln_edit&no=1819,174,H. Bodius,"Union de plusieurs passages de l'Escriture sainte, extraite des docteurs authentique de l'Eglise chrestienne. Reveue et corrigée","[Ge], [P. Hamelin].",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=174&tbl=gln_edit&no=1813,175,L. Bourgeois,"Droict chemin de musique, avec la maniere de chanter les pseaumes par usage ou ruse","Ge, [J. Girard].",1550,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=175&tbl=gln_edit&no=1518,176,Bref,Brief traicté de purgatoire,"[Ge], [J. Girard].",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=176&tbl=gln_edit&no=1522,177,[G. de Brès],Baston de la foy chrestienne,"[Ge], N. Barbier & Thomas Courteau",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=177&tbl=gln_edit&no=1524,178,[G. de Brès],"Baston de la foy chrestienne, reveu et augmenté de nouveau","[Ge], N. Barbier & Thomas Courteau",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=178&tbl=gln_edit&no=1523,179,[G. de Brès],Baston de la foy chrestienne. Reveu et augmenté de nouveau,"[Ge], N. Barbier & Thomas Courteau",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=179&tbl=gln_edit&no=1661,180,Brève,Breve sumario de indulgencias y gracias,"[Ge], [J. Crespin].",[1560],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=180&tbl=gln_edit&no=1833,181,M. Bucer,Du royaume de Jesus Christ,"Ge, J. Berthet [& Jacques Derbilly]",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=181&tbl=gln_edit&no=1904,182,M. Bucer,Familiere declaration du livre des Pseaumes,"Ge, P. Hamelin.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=182&tbl=gln_edit&no=6799,183,M. Bucer,Familiere declaration du livre des Pseaumes,"[Ge], P. Hamelin.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=183&tbl=gln_edit&no=1905,184,M. Bucer,In sacra quatuor Evangelia enarrationes perpetuæ secundum et postremum recognitæ,"[Ge], R. Estienne.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=184&tbl=gln_edit&no=1463,185,M. Bucer,In sacra quatuor Evangelia enarrationes perpetuæ.,"[Ge], R. Estienne.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=185&tbl=gln_edit&no=1923,186,M. Bucer,Psalmorum libri quinque ad hebraicam veritatem traducti et ennarati. Ejusdem commentarii in librum Judicum et in Sophoniam prophetam,"[Ge], R. Estienne.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=186&tbl=gln_edit&no=5928,187,H. Bullinger,(Deux sermons de la fin du siècle),"[Ge], J. Crespin.",[1557 ?],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=187&tbl=gln_edit&no=1624,188,H. Bullinger,Abbregé de la doctrine evangelique et papistique,"[Ge], J. Crespin.",[1558],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=188&tbl=gln_edit&no=2049,189,H. Bullinger,Apologie en laquelle est demonstré que les ministres de Zurich ne suivent aucune opinion heretique en la doctrine de la Cene,"[Ge], M. de La Roche.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=189&tbl=gln_edit&no=2050,190,H. Bullinger,Apologie en laquelle est demonstré que les ministres de Zurich ne suivent aucune opinion heretique en la doctrine de la Cene,"[Ge], M. Du Bois.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=190&tbl=gln_edit&no=1625,191,H. Bullinger,Cent sermons sur l'Apocalypse,"[Ge], J. Crespin.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=191&tbl=gln_edit&no=1626,192,H. Bullinger,Cent sermons sur l'Apocalypse,"[Ge], J. Crespin pour Nicolas Barbier & Thomas Courteau",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=192&tbl=gln_edit&no=1627,193,H. Bullinger,Cent sermons sur l'Apocalypse,"[Ge], J. Crespin & Nicolas Barbier",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=193&tbl=gln_edit&no=1628,194,H. Bullinger,Cent sermons sur l'Apocalypse,"[Ge], J. Crespin.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=194&tbl=gln_edit&no=4325,195,H. Bullinger,De la seule foy en Christ justifiante : et des œuvres vrayment bonnes.,"[Ge], [C. Badius].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=195&tbl=gln_edit&no=1602,196,H. Bullinger,Deux sermons de la fin du siècle,"[Ge], J. Crespin.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=196&tbl=gln_edit&no=2022,197,H. Bullinger,Perfection des chrestiens.,"Ge, J. Berthet.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=197&tbl=gln_edit&no=2110,198,H. Bullinger,Perfection des chrestiens.,"Ge, J. Berthet.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=198&tbl=gln_edit&no=2143,199,H. Bullinger,Quatrieme et cinquieme decade des sermons. Traduits de latin en francois.,"[Ge], N. Barbier & Thomas Courteau",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=199&tbl=gln_edit&no=1603,200,H. Bullinger,Resolution de tous les poincts de la religion chrestienne,"[Ge], J. Crespin.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=200&tbl=gln_edit&no=1604,201,H. Bullinger,Resolution de tous les poincts de la religion chrestienne,"[Ge], J. Crespin.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=201&tbl=gln_edit&no=1605,202,H. Bullinger,Resolution de tous les poincts de la religion chrestienne,"[Ge], J. Crespin.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=202&tbl=gln_edit&no=4422,203,H. Bullinger,Resolution de tous les poincts de la religion chrestienne,"[Ge], [J. Berthet].",[1560],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=203&tbl=gln_edit&no=1651,204,H. Bullinger,Resolution de tous les points de la religion chrestienne. 3e éd.,"[Ge], J. Crespin.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=204&tbl=gln_edit&no=2142,205,H. Bullinger,"Source d'erreur, rédigée en deux livres","[Ge], C. Badius.",1560,,,
